"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,16906,14477,131,1039,36515,11213,49260,4109,99203,8982,2016-01-01
HUMBER NHS FOUNDATION TRUST,0,0,0,0,382,112,478,32,836,74,2016-01-01
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,16882,25620,192,5950,43428,27840,62337,9001,152280,20494,2016-01-01
INHEALTH LIMITED,0,0,0,0,1858,0,1506,122,1421,0,2016-01-01
IPSWICH HOSPITAL NHS TRUST,9503,8538,88,1445,20286,15728,34670,1750,57700,3370,2016-01-01
ISIGHT,236,336,5,1,22,250,226,9,586,29,2016-01-01
ISLE OF WIGHT NHS TRUST,3256,2248,64,496,8432,7626,12176,727,21745,1479,2016-01-01
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5390,5929,484,1006,17588,5083,16585,1458,36777,2718,2016-01-01
KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,66,66,0,0,0,0,0,0,0,0,2016-01-01
KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,0,0,785,0,485,0,0,2013,2016-01-01
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8734,8201,264,1207,12939,8506,17900,1537,27896,2518,2016-01-01
KIMS HOSPITAL LTD,382,323,78,0,1911,4,1098,97,1018,26,2016-01-01
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,20917,17745,471,2398,56653,27161,69184,9397,145240,17789,2016-01-01
KINGSTON HOSPITAL NHS FOUNDATION TRUST,6503,4792,140,1262,22342,6181,26092,2868,41922,3899,2016-01-01
LANCASHIRE CARE NHS FOUNDATION TRUST,0,0,0,0,577,2357,2082,634,4576,1161,2016-01-01
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,14421,10368,185,1758,23527,14938,32684,3427,88499,9584,2016-01-01
LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,257,363,379,30,1077,105,2016-01-01
LEEDS COMMUNITY HEALTHCARE NHS TRUST,49,49,0,0,1000,1101,1613,141,2164,342,2016-01-01
LEEDS TEACHING HOSPITALS NHS TRUST,26620,21732,527,3753,37795,37883,68310,6756,172139,13987,2016-01-01
LEICESTERSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,110,162,189,73,638,75,2016-01-01
LEWISHAM AND GREENWICH NHS TRUST,9905,7491,185,1448,29809,19741,42227,6685,55558,11423,2016-01-01
LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,486,947,881,195,2822,597,2016-01-01
LIVERPOOL COMMUNITY HEALTH NHS TRUST,0,0,0,0,0,0,0,0,0,0,2016-01-01
LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,1880,1854,7,134,1542,1536,3070,224,13270,1241,2016-01-01
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2630,2538,38,143,4869,11327,13652,1178,23839,2838,2016-01-01
LIVEWELL SOUTHWEST,0,0,0,0,88,144,102,2,254,23,2016-01-01
LONDON NORTH WEST HEALTHCARE NHS TRUST,14670,10558,912,2093,39215,12014,47645,9454,88016,17962,2016-01-01
LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9535,7926,353,1300,19340,14407,25382,2313,53953,6090,2016-01-01
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,10785,9475,243,1599,27782,18682,44314,2843,72431,5800,2016-01-01
MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,0,0,0,0,96,1149,901,384,4123,1060,2016-01-01
MEDWAY COMMUNITY HEALTHCARE,0,0,0,0,0,0,18,0,43,0,2016-01-01
MEDWAY NHS FOUNDATION TRUST,5227,3007,176,1083,22416,9027,23449,2343,52833,5207,2016-01-01
MERSEY CARE NHS FOUNDATION TRUST,0,0,0,0,3315,5521,1120,242,9107,1307,2016-01-01
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,9089,7998,52,986,17461,6992,20066,1775,37978,2830,2016-01-01
MID ESSEX HOSPITAL SERVICES NHS TRUST,7350,7840,86,1222,19715,18491,26169,2179,50729,5265,2016-01-01
MID YORKSHIRE HOSPITALS NHS TRUST,9499,13084,255,998,33635,19902,39252,4049,78150,5785,2016-01-01
MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,8228,4553,107,897,15592,8790,19336,1007,26203,1576,2016-01-01
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,9368,10066,0,0,15960,5559,29030,4487,84604,12314,2016-01-01
MOUNT STUART HOSPITAL,968,1064,34,106,1398,0,1333,69,2453,231,2016-01-01
NAVIGO,0,0,0,0,0,0,0,0,0,0,2016-01-01
NEW HALL HOSPITAL,805,1145,0,40,1640,0,1505,66,4846,227,2016-01-01
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20409,17381,222,3225,33091,12722,44588,1520,74916,4846,2016-01-01
NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,0,0,0,0,0,0,0,0,0,0,2016-01-01
NORTH BRISTOL NHS TRUST,12259,13505,227,672,23788,10090,27081,3018,54767,6228,2016-01-01
NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,8100,7207,102,1587,16538,9758,26062,1563,57018,4739,2016-01-01
NORTH DOWNS HOSPITAL,511,622,0,16,888,0,822,22,1887,62,2016-01-01
NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,481,1991,2298,19,5349,957,2016-01-01
NORTH EAST LONDON TREATMENT CENTRE CARE UK,3782,2063,51,230,3406,84,2488,215,2124,110,2016-01-01
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6260,6348,354,1035,14271,14622,27848,4827,47137,9170,2016-01-01
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4530,5388,28,792,11462,2804,12887,1277,17131,2799,2016-01-01
NORTH WEST CATS PATHWAY MANAGEMENT CENTRE,0,0,0,0,7934,0,6766,258,2863,410,2016-01-01
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8069,6312,182,1455,16052,8228,20362,1349,37575,3211,2016-01-01
NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,118,118,0,0,8,447,378,36,891,88,2016-01-01
NORTHERN DEVON HEALTHCARE NHS TRUST,3631,2962,0,159,7181,2819,11772,573,26347,1916,2016-01-01
NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,10917,8954,392,1238,21629,14299,30793,2768,64542,6715,2016-01-01
"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",0,0,0,0,75,290,300,0,2990,423,2016-01-01
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8708,9090,166,958,14733,8598,26585,1796,61385,4550,2016-01-01
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,20664,20157,198,1859,31095,20083,39697,3698,96519,10311,2016-01-01
NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,23,16,2,5,0,60,34,0,155,0,2016-01-01
NOVUS HEALTH LTD,288,277,7,4,371,71,276,8,113,0,2016-01-01
"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",323,513,0,22,738,0,510,12,1126,37,2016-01-01
"NUFFIELD HEALTH, BRISTOL HOSPITAL (ST MARY'S)",191,209,0,9,249,0,251,10,289,9,2016-01-01
"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",129,144,0,5,204,0,183,8,339,8,2016-01-01
"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",5,8,0,0,9,0,8,0,10,0,2016-01-01
"NUFFIELD HEALTH, CHICHESTER HOSPITAL",249,478,0,7,533,0,353,15,539,8,2016-01-01
"NUFFIELD HEALTH, EXETER HOSPITAL",62,310,0,5,69,0,68,1,398,28,2016-01-01
"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",28,22,0,0,48,0,39,3,28,5,2016-01-01
"NUFFIELD HEALTH, IPSWICH HOSPITAL",157,363,0,19,29,0,130,2,193,2,2016-01-01
"NUFFIELD HEALTH, LEEDS HOSPITAL",887,1048,1,57,1452,0,1335,70,2960,216,2016-01-01
"NUFFIELD HEALTH, LEICESTER HOSPITAL",535,594,0,41,917,0,919,36,1633,88,2016-01-01
"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",618,722,0,34,780,0,836,13,2282,160,2016-01-01
"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",525,684,0,65,964,1,974,33,1639,148,2016-01-01
"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",203,327,0,12,206,0,230,3,269,16,2016-01-01
"NUFFIELD HEALTH, TAUNTON HOSPITAL",323,349,3,14,506,0,484,20,1023,30,2016-01-01
"NUFFIELD HEALTH, TEES HOSPITAL",825,935,0,150,996,0,1047,18,2773,139,2016-01-01
"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",163,157,0,14,241,0,240,6,745,34,2016-01-01
"NUFFIELD HEALTH, WOKING HOSPITAL",329,338,0,14,514,0,488,19,737,26,2016-01-01
"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",485,509,0,26,571,0,556,20,1621,83,2016-01-01
NUFFIELD HOSPITAL OXFORD (THE MANOR),27,32,0,4,31,0,37,1,85,3,2016-01-01
OAKLANDS HOSPITAL,1119,1249,1,140,1752,0,1524,12,6596,21,2016-01-01
OAKS HOSPITAL,1204,1474,18,99,1833,0,1769,81,5126,214,2016-01-01
OLDHAM INTEGRATED CARE CENTRE,0,0,0,0,3123,314,3559,236,6017,666,2016-01-01
ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,137,126,0,11,163,0,168,5,174,11,2016-01-01
OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,26497,21177,618,5430,47285,33556,68253,3550,108351,7157,2016-01-01
OXLEAS NHS FOUNDATION TRUST,0,0,0,0,25,150,291,46,400,69,2016-01-01
PAPWORTH HOSPITAL NHS FOUNDATION TRUST,3040,3047,74,96,1664,5285,3086,239,17145,1807,2016-01-01
PARK HILL HOSPITAL,134,152,0,20,242,0,223,19,835,44,2016-01-01
PENINSULA COMMUNITY HEALTH C.I.C,0,0,0,0,351,318,495,0,0,0,2016-01-01
PENINSULA NHS TREATMENT CENTRE,878,925,0,0,1098,433,1127,40,1008,45,2016-01-01
PENNINE ACUTE HOSPITALS NHS TRUST,17510,15088,749,3209,35122,30156,57136,5272,96553,12400,2016-01-01
PENNINE CARE NHS FOUNDATION TRUST,0,0,0,0,135,2532,1886,340,5860,1471,2016-01-01
PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,9014,7870,124,858,25547,9940,31877,2037,79946,4907,2016-01-01
PINEHILL HOSPITAL,771,898,10,86,1208,0,1162,81,4335,160,2016-01-01
PIONEER HEALTHCARE LIMITED,47,42,0,7,157,0,139,6,83,6,2016-01-01
PLYMOUTH HOSPITALS NHS TRUST,12752,10213,250,2937,20673,7204,26730,1900,56743,3780,2016-01-01
POOLE HOSPITAL NHS FOUNDATION TRUST,3694,3188,64,462,12574,10139,20967,1250,31742,2182,2016-01-01
PORTSMOUTH HOSPITALS NHS TRUST,13752,10982,177,2409,30825,15841,42219,2636,81678,5196,2016-01-01
PROVIDE,0,0,0,0,16,113,0,0,0,0,2016-01-01
QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,4153,3781,23,415,6295,5760,11170,798,35011,2775,2016-01-01
RENACRES HOSPITAL,1326,1334,0,162,2635,0,2474,114,6350,302,2016-01-01
RIVERS HOSPITAL,2277,2221,0,249,2774,0,2579,43,10820,69,2016-01-01
ROWLEY HALL HOSPITAL,1065,1304,8,91,1781,0,1587,108,5864,285,2016-01-01
ROYAL BERKSHIRE NHS FOUNDATION TRUST,12932,10650,50,1552,29242,25078,43432,3504,66291,7348,2016-01-01
ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,5522,4594,125,826,2527,4945,5139,492,32207,2995,2016-01-01
ROYAL CORNWALL HOSPITALS NHS TRUST,11451,9437,240,1655,23134,13181,29080,2065,68099,5396,2016-01-01
ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,13137,11340,226,1956,22370,11376,31211,1820,55253,3762,2016-01-01
ROYAL FREE LONDON NHS FOUNDATION TRUST,23559,19860,354,4740,55460,41373,77273,11852,142225,23869,2016-01-01
ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,9962,8104,348,2073,24926,14640,41357,5099,106860,11981,2016-01-01
ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,3053,2900,61,311,2786,3198,4339,239,17548,1618,2016-01-01
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5949,7069,26,819,15315,8912,19875,1177,46957,2311,2016-01-01
ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7331,6215,15,182,22492,14732,36592,1999,58126,3380,2016-01-01
SALFORD ROYAL NHS FOUNDATION TRUST,8786,7287,242,1786,23358,22309,38908,4024,93470,8783,2016-01-01
SALISBURY NHS FOUNDATION TRUST,3808,3243,40,450,10663,7503,16187,863,25659,1661,2016-01-01
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,8616,7399,177,1410,38362,19635,47683,6410,87404,8899,2016-01-01
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2345,2394,73,205,4523,5838,11666,1073,22418,2910,2016-01-01
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,23913,19939,488,3870,43194,38503,73709,6056,186656,16359,2016-01-01
SHEPTON MALLET NHS TREATMENT CENTRE,2704,2463,2,0,1994,1109,1968,47,3116,69,2016-01-01
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9822,8772,298,1265,16922,9185,24362,2042,58578,5521,2016-01-01
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5543,5022,84,912,19152,14804,32648,2086,53877,3234,2016-01-01
SHROPSHIRE COMMUNITY HEALTH NHS TRUST,241,279,0,31,1732,587,1929,161,5506,599,2016-01-01
SIRONA CARE & HEALTH,0,0,0,0,654,639,1037,146,2229,236,2016-01-01
SOLENT NHS TRUST,239,253,15,4,1370,1033,1245,169,2628,330,2016-01-01
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,39,39,331,47,1368,212,2016-01-01
SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,254,732,834,146,4112,928,2016-01-01
SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,0,0,2065,78,5058,1211,2016-01-01
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,9545,9319,204,970,29113,18047,40127,3679,82429,7733,2016-01-01
SOUTH TYNESIDE NHS FOUNDATION TRUST,3249,2809,148,490,5620,4785,9240,926,21497,2099,2016-01-01
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5633,4761,61,637,13445,3311,14767,1167,28312,2187,2016-01-01
SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,0,0,0,0,3083,5233,5379,618,67151,8297,2016-01-01
SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,1,33,25,5,29,3,2016-01-01
SOUTHAMPTON NHS TREATMENT CENTRE,6535,3691,74,327,6309,0,3735,262,5679,195,2016-01-01
SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11858,8902,119,1877,22299,13523,27205,1737,61156,5181,2016-01-01
SOUTHERN HEALTH NHS FOUNDATION TRUST,1542,1362,28,293,3143,29,2839,205,4791,558,2016-01-01
SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,4684,4049,108,702,12300,8380,14186,1283,33838,3658,2016-01-01
SPIRE ALEXANDRA HOSPITAL,0,354,0,0,582,0,445,0,811,0,2016-01-01
SPIRE BRISTOL HOSPITAL,0,352,0,0,529,0,479,0,620,0,2016-01-01
SPIRE BUSHEY HOSPITAL,0,219,0,0,388,0,305,0,789,0,2016-01-01
SPIRE CAMBRIDGE LEA HOSPITAL,0,224,0,0,315,0,214,0,673,0,2016-01-01
SPIRE CHESHIRE HOSPITAL,0,782,0,0,1258,0,767,0,2628,0,2016-01-01
SPIRE CLARE PARK HOSPITAL,0,360,0,0,472,0,394,0,910,0,2016-01-01
SPIRE DUNEDIN HOSPITAL,0,425,0,0,645,0,490,0,1185,0,2016-01-01
SPIRE ELLAND HOSPITAL,0,1030,0,0,1645,0,1222,0,4142,0,2016-01-01
SPIRE FYLDE COAST HOSPITAL,0,1363,0,0,2503,0,1915,0,2724,0,2016-01-01
SPIRE GATWICK PARK HOSPITAL,0,294,0,0,376,0,196,0,474,0,2016-01-01
SPIRE HARPENDEN HOSPITAL,0,479,0,0,789,0,585,0,1813,0,2016-01-01
SPIRE HARTSWOOD HOSPITAL,0,387,0,0,653,0,540,0,1563,0,2016-01-01
SPIRE HULL AND EAST RIDING HOSPITAL,0,2199,0,0,3082,0,2061,0,6704,0,2016-01-01
SPIRE LEEDS HOSPITAL,0,1009,0,0,1526,0,1242,0,4241,0,2016-01-01
SPIRE LEICESTER HOSPITAL,0,369,0,0,533,0,478,0,1529,0,2016-01-01
SPIRE LITTLE ASTON HOSPITAL,0,656,0,0,1038,0,791,0,4114,0,2016-01-01
SPIRE LIVERPOOL HOSPITAL,0,1733,0,0,3225,0,2275,0,6680,0,2016-01-01
SPIRE MANCHESTER HOSPITAL,0,480,0,0,673,0,402,0,1899,0,2016-01-01
SPIRE METHLEY PARK HOSPITAL,0,1152,0,0,1325,0,917,0,5093,0,2016-01-01
SPIRE MONTEFIORE HOSPITAL,0,227,0,0,406,0,207,0,782,0,2016-01-01
SPIRE MURRAYFIELD HOSPITAL,0,808,0,0,1004,0,809,0,3109,0,2016-01-01
SPIRE NORWICH HOSPITAL,0,372,0,0,381,0,40,0,1666,0,2016-01-01
SPIRE PARKWAY HOSPITAL,0,547,0,0,892,0,728,0,2987,0,2016-01-01
SPIRE PORTSMOUTH HOSPITAL,0,243,0,0,348,0,299,0,464,0,2016-01-01
SPIRE REGENCY HOSPITAL,0,458,0,0,1349,0,575,0,2143,0,2016-01-01
SPIRE RODING HOSPITAL,0,1043,0,0,1895,0,1324,0,3172,0,2016-01-01
SPIRE SOUTH BANK HOSPITAL,0,595,0,0,1094,0,643,0,2072,0,2016-01-01
SPIRE SOUTHAMPTON HOSPITAL,0,420,0,0,564,0,407,0,1414,0,2016-01-01
SPIRE SUSSEX HOSPITAL,0,209,0,0,334,0,236,0,828,0,2016-01-01
SPIRE THAMES VALLEY HOSPITAL,0,76,0,0,194,0,101,0,308,0,2016-01-01
SPIRE TUNBRIDGE WELLS HOSPITAL,0,196,0,0,426,0,217,0,171,0,2016-01-01
SPIRE WASHINGTON HOSPITAL,0,1334,0,0,1407,0,1079,0,4168,0,2016-01-01
SPIRE WELLESLEY HOSPITAL,0,1012,0,0,1079,0,899,0,4372,0,2016-01-01
SPRINGFIELD HOSPITAL,1442,1651,0,141,2889,0,2930,102,10618,499,2016-01-01
ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13436,10852,303,2583,43076,13270,41395,6699,72007,13588,2016-01-01
ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,13974,10414,340,284,22214,11686,29626,3054,66905,6648,2016-01-01
ST MARY'S NHS TREATMENT CENTRE,2523,1929,43,153,2762,251,1393,55,861,27,2016-01-01
STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP NHS TRUST,768,538,0,0,1151,122,1186,101,4196,627,2016-01-01
STOCKPORT NHS FOUNDATION TRUST,8552,7394,180,1288,15301,8483,21527,1810,51164,4651,2016-01-01
SUFFOLK COMMUNITY HEALTHCARE,351,345,6,0,214,211,278,35,858,88,2016-01-01
SURREY AND SUSSEX HEALTHCARE NHS TRUST,5198,6838,0,421,20675,12441,25119,2256,35443,4263,2016-01-01
SUSSEX COMMUNITY DERMATOLOGY SERVICE,0,0,0,0,5203,0,4736,317,3531,236,2016-01-01
SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,0,0,143,335,448,30,2307,151,2016-01-01
SUSSEX MSK PARTNERSHIP 2,1018,714,12,363,1291,13,1506,64,2524,139,2016-01-01
TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,5519,4781,160,645,14526,5471,17652,1887,32449,3462,2016-01-01
TAUNTON AND SOMERSET NHS FOUNDATION TRUST,8937,7599,113,1339,14692,5976,22781,2086,46600,4744,2016-01-01
TEES VALLEY TREATMENT CENTRE,1742,1760,16,127,2722,0,2303,242,2526,139,2016-01-01
THE BERKSHIRE INDEPENDENT HOSPITAL,560,659,7,15,1241,0,1049,54,4407,151,2016-01-01
THE CHRISTIE NHS FOUNDATION TRUST,2709,3020,31,366,103,6924,3883,219,77389,2160,2016-01-01
THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,343,306,0,33,41,2425,3149,138,53560,2138,2016-01-01
THE CROFT SHIFA HEALTH CENTRE,414,474,3,19,535,0,30,24,2443,208,2016-01-01
THE DUDLEY GROUP NHS FOUNDATION TRUST,8182,7936,57,356,19795,8009,26087,2780,60879,4919,2016-01-01
THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6718,5023,274,1217,19978,7158,21952,2249,36734,4011,2016-01-01
THE HORDER CENTRE - ST JOHNS ROAD,810,554,0,282,917,0,749,21,1034,46,2016-01-01
THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,27940,23738,597,3282,49267,31175,74005,7071,192513,21571,2016-01-01
THE ONE HEALTH GROUP LTD,15,11,4,0,2544,34,2376,933,2633,508,2016-01-01
THE PHOENIX CENTRE,0,0,1,1,63,0,0,6,460,45,2016-01-01
THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5087,4744,10,426,16668,11271,20488,1944,34223,3756,2016-01-01
"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",7251,6185,198,938,14237,6712,18333,1067,45287,2802,2016-01-01
THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,3093,2846,16,720,5849,2567,7662,368,18116,1205,2016-01-01
THE ROTHERHAM NHS FOUNDATION TRUST,5976,7245,90,745,13551,9929,20720,1752,45197,3873,2016-01-01
THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,14170,10919,167,1907,20087,6957,27508,1765,41463,2687,2016-01-01
THE ROYAL MARSDEN NHS FOUNDATION TRUST,2767,2379,6,446,2590,3244,4697,416,50154,2572,2016-01-01
THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,3255,3236,55,582,3866,3194,5020,436,12740,1504,2016-01-01
THE ROYAL WOLVERHAMPTON NHS TRUST,10561,8758,240,2053,31314,15506,40541,4382,98626,7108,2016-01-01
THE WALTON CENTRE NHS FOUNDATION TRUST,1954,1654,48,372,6607,4971,10870,827,17686,1483,2016-01-01
THE WESTBOURNE CENTRE,313,301,15,18,525,0,512,33,431,21,2016-01-01
THE WHITTINGTON HOSPITAL NHS TRUST,5315,4315,318,916,13651,8116,19015,2773,35020,5224,2016-01-01
THE YORKSHIRE CLINIC,2108,2994,77,211,4461,0,3827,325,16440,1363,2016-01-01
TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,3891,3743,35,540,13678,11210,21077,1241,56943,3225,2016-01-01
UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,14357,11856,570,2047,27616,13688,45003,2915,86383,7864,2016-01-01
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,16962,13236,366,3384,31112,27287,49352,6730,149746,18891,2016-01-01
UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,10439,9789,249,1460,17371,9905,22548,1801,56458,4537,2016-01-01
UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11366,10974,131,1225,20781,26098,44174,3589,97880,8301,2016-01-01
UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,13198,11379,198,1649,16808,15759,31282,3606,117983,12083,2016-01-01
UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,13353,11255,190,1935,28648,25230,40071,3307,90192,6639,2016-01-01
UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,14868,13357,391,1988,25716,24321,41470,3474,63000,5978,2016-01-01
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19012,15465,182,2950,51108,34112,67912,5297,125114,9489,2016-01-01
UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,9911,8680,54,561,19599,9861,27238,1870,49467,3928,2016-01-01
UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,17561,15828,366,2076,31479,17610,42890,3696,78246,6414,2016-01-01
VIRGIN CARE SERVICES LTD,0,0,0,0,410,1276,1344,0,1778,3122,2016-01-01
WALSALL HEALTHCARE NHS TRUST,4921,4011,167,655,14962,10402,17536,3074,35216,4859,2016-01-01
WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,9075,7342,240,1422,16026,13072,16547,2078,37773,6176,2016-01-01
WEST HERTFORDSHIRE HOSPITALS NHS TRUST,10020,8433,225,1387,23909,14779,24795,2429,44787,5237,2016-01-01
WEST LONDON MENTAL HEALTH NHS TRUST,11,21,0,0,0,0,0,0,0,0,2016-01-01
WEST MIDLANDS HOSPITAL,1079,1103,0,94,2236,0,2211,62,6995,290,2016-01-01
WEST SUFFOLK NHS FOUNDATION TRUST,5266,4565,59,746,15233,6480,19189,875,36297,2338,2016-01-01
WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,15539,13298,320,2676,20241,15869,31141,2141,49387,4005,2016-01-01
WESTON AREA HEALTH NHS TRUST,3235,2554,0,305,5418,2168,8327,449,16800,1051,2016-01-01
WILL ADAMS NHS TREATMENT CENTRE,1984,1131,12,100,1258,63,916,35,1049,15,2016-01-01
WINFIELD HOSPITAL,609,718,4,78,903,0,905,35,3490,203,2016-01-01
WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,11229,9732,10,1546,18426,9601,26496,2244,53448,4610,2016-01-01
WOODLAND HOSPITAL,1510,1595,2,53,2736,0,2434,132,6970,337,2016-01-01
WOODTHORPE HOSPITAL,1090,1338,3,84,2235,0,2154,154,4351,249,2016-01-01
WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,15576,12157,356,2425,24626,13342,34081,2625,56849,5974,2016-01-01
WORCESTERSHIRE HEALTH AND CARE NHS TRUST,0,66,0,0,2320,738,3566,512,5302,614,2016-01-01
"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",10628,8292,125,2062,19482,10959,27098,2027,61387,6132,2016-01-01
WYE VALLEY NHS TRUST,3505,3438,56,494,12854,6350,15375,1021,34151,2356,2016-01-01
YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,3935,3587,69,648,7088,3723,9638,452,19957,1867,2016-01-01
YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,12440,10523,83,1784,31261,25508,31682,2136,62270,4620,2016-01-01
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11270,9520,671,1749,15722,12044,25616,2709,46297,4548,2017-01-01
